lat	lon	title	description	iconSize	iconOffset	icon
5773941.5067997	1444834.5951182	Milk	<a href="http://www.free-milk.org/">http://www.free-milk.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5084533.7486226	1539716.6498877	Cassino Lug	<a href="http://clug.netsons.org/">http://clug.netsons.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5055162.2687523	1474011.4336511	GioveLUG	<a href="http://www.giovelug.org/">http://www.giovelug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5081342.2521401	1436500.1048437	LLG	<a href="http://www.llg.it/">http://www.llg.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5181796.7418066	1377107.816929	Linux4Campagnano	<a href="http://www.linux4campagnano.net/">http://www.linux4campagnano.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5145225.0235552	1389701.3909207	Linux Club Italia	<a href="http://linux-club.org/">http://linux-club.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5145225.0235552	1392701.3909207	LSLug - La Sapienza Linux User Group	<a href="http://www.ls-lug.org/">http://www.ls-lug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5145225.0235552	1395701.3909207	Lug Roma TRE	<a href="http://www.lugroma3.org/">http://www.lugroma3.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5140974.3189894	1405964.0553284	Roma2LUG	<a href="http://lug.uniroma2.it/">http://lug.uniroma2.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5174098.5439149	1366632.6528468	SabaziaLug	<a href="http://www.sabazialug.org/">http://www.sabazialug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5223775.3000551	1347918.7332522	TuLug	<a href="http://www.tulug.it/">http://www.tulug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5528537.9649634	994512.74587996	ALID	<a href="http://www.alid.it/">http://www.alid.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5528537.9649634	997512.74587996	Op3n_L4b	<a href="http://www.openlab-dist.org/">http://www.openlab-dist.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5519703.946073	1027251.8081177	TLug-TSL	<a href="http://tlug.linux.it/">http://tlug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5448049.0218994	893987.9061229	SLIMP	<a href="http://www.slimp.it/">http://www.slimp.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5513393.60966	943672.02124684	Govonis GNU/LUG	<a href="http://www.govonis.org/">http://www.govonis.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5513393.60966	946672.02124684	SavonaLug	<a href="http://savona.linux.it/">http://savona.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5732081.6949319	1076342.5903558	BGLug	<a href="http://bglug.it/">http://bglug.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5747299.8183861	1094243.8776678	BGLug Valle Seriana	<a href="http://bglugvs.web3king.com/">http://bglugvs.web3king.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5747060.3383077	1074917.7008738	Linux Club Zogno	<a href="http://www.linuxzogno.org/">http://www.linuxzogno.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5704519.1958636	1138494.4884468	CiRcOLaB	<a href="http://www.circolab.net/">http://www.circolab.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5704519.1958636	1141494.4884468	LugBS	<a href="http://lugbs.linux.it/">http://lugbs.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5710145.7253521	1125881.9901417	Lug Castegnato	<a href="http://www.kenparker.eu/LugCastegnato/">http://www.kenparker.eu/LugCastegnato/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5713516.9826833	1106667.1328386	Lug Ovest Bresciano	<a href="http://www.lugob.org/">http://www.lugob.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5749950.4950765	1011609.1932736	GL-Como	<a href="http://www.gl-como.it/">http://www.gl-como.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5678180.4268872	1076265.7799072	Lug Crema	<a href="http://filibusta.crema.unimi.it/">http://filibusta.crema.unimi.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5642984.1996354	1116308.5139348	LugCR	<a href="http://www.lugcr.it/">http://www.lugcr.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5756850.7487308	1045295.5843779	GLUX	<a href="http://www.lecco.linux.it/">http://www.lecco.linux.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5671022.490874	1057853.5361325	LoLug	<a href="http://www.lolug.org/">http://www.lolug.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5646794.4194943	1202010.0502999	LugMan	<a href="http://www.lugman.net/">http://www.lugman.net/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5709098.0323701	1028507.4919737	LIFOS	<a href="http://www.lifos.org/">http://www.lifos.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5694909.8372957	1022971.5736973	Lug Bocconi	<a href="http://www.lugbocconi.org/">http://www.lugbocconi.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5694909.8372957	1025971.5736973	Lugdico	<a href="http://lugdico.wordpress.com/">http://lugdico.wordpress.com/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5694909.8372957	1028971.5736973	OpenLabs	<a href="http://www.openlabs.it/">http://www.openlabs.it/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5694909.8372957	1031971.5736973	PCOfficina	<a href="http://www.pcofficina.org/">http://www.pcofficina.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
5694909.8372957	1034971.5736973	POuL	<a href="http://www.poul.org/">http://www.poul.org/</a>	16,19	-8,-19	http://lugmap.it/images/icon.png
